Input_Size,Num_Clusters,Threads_Per_Block,Blocks_Per_Grid,Num_Grids,Execution_Time_s,Date
1000,245,1,1,1,0.0315576,20260228
10000,1823,1,1,1,2.75569,20260228
50000,7248,1,1,1,81.5351,20260228
100000,14037,1,1,1,321.103,20260228
200000,28663,1,1,1,1297.56,20260228
