Input_Size,Num_Clusters,Threads_Per_Block,Blocks_Per_Grid,Num_Grids,Execution_Time_s
1000,19,256,4,1,0.00373606
10000,219,256,40,1,0.0300948
50000,973,256,196,1,0.225452
100000,1856,256,391,1,0.59614
200000,3506,256,782,1,1.64218
1000000,15449,256,3907,1,29.6637
2234316,27950,256,8728,1,120.162
