Input_Size,Num_Clusters,Threads_Per_Block,Blocks_Per_Grid,Num_Grids,Execution_Time_s
1000,245,256,4,1,0.297776
10000,1823,256,40,1,0.030584
50000,7248,256,196,1,0.202224
100000,14037,256,391,1,0.598813
200000,28663,256,782,1,0.944945
1000000,178196,256,3907,1,49.0654
1000,245,256,4,1,0.308216
10000,1823,256,40,1,0.0342206
50000,7248,256,196,1,0.22111
100000,14037,256,391,1,0.420799
200000,28663,256,782,1,2.53308
1000000,178196,256,3907,1,45.6641
2234316,513330,256,8728,1,445.936
