Input_Size,Num_Clusters,Threads_Per_Block,Blocks_Per_Grid,Num_Grids,Execution_Time_s,Date
1000,19,1,1,1,0.00190166,20260228
10000,219,1,1,1,0.173203,20260228
50000,973,1,1,1,4.75265,20260228
100000,1856,1,1,1,23.2302,20260228
200000,3506,1,1,1,86.2337,20260228
